Handle,Timestamp,Content,Retweets,Likes
@Astrid16318158,2024-11-16T19:34:34.000Z,"Die Wiederherstellung Edens

Restoring Eden#Restoring #Eden",0,2
@EDENSAcomunica,2024-11-16T18:21:14.000Z,Alerta Meteorológica Te compartimos estos consejos de seguridad Solicitamos dar aviso inmediato de cualquier situación riesgosa llamando al 0800 999 3336#EDEN #AlertaMeteorológica #ConsejosDeSeguridad,0,0
@griannedoherty,2024-11-16T18:13:17.000Z,"""Her for a minute""

""Not a very good idea""

""Why not?""

""Well""

""You are not the only one who misses Felicity""

""The answer's still no""",0,0
@griannedoherty,2024-11-16T18:11:40.000Z,"""Want to argue with you, that's not why I'm here. What's she like?""

""Oh, I can't do this""

""Cash, Felicity was my best friend & I want to meet her""

""No, you can't""

""Cash""

""Can you leave?""

""Hey, no. Just let me talk to...""",0,0
@griannedoherty,2024-11-16T18:09:01.000Z,"""Eden, what are you doing here?""

""Is it true? Is she here?""

""Let's talk about this outside. Yeah, come on. Can you give me a minute?""

""Yea""

""Yeah, Remi probably shouldn't of even told you about this""

""I don't...""",0,0
