Handle,Content,Likes
@hometravelphoto,"You don't have to break the bank to have an awesome holiday, visit north wales, camp gwynant! #camping #wales #gwyna…",1
@itame_meshi,"Perfume Clips【初回限定盤】[Blu-ray] 6,300 円 【Perfume (出演) | 形式: B】 http://amazon.co.jp/Perfume-Clips%E3%80%90%E5%88%9D%E5%9B%9E%E9%99%90%E5%AE%9A%E7%9B%A4%E3%80%91-Blu-ray/dp/B00HE7L8BM/ref=pd_zg_rss_nr_d_dvd_10?ie=UTF8&tag=tac0506-22… #GwyNA",0
